頭文字,製品名,登録番号,列1,用途,有効成分-1,RACｺｰﾄﾞ-1,有効成分-2,RACｺｰﾄﾞ-2,有効成分-3,RACｺｰﾄﾞ-3,有効成分-4,RACｺｰﾄﾞ-4,有効成分-5,RACｺｰﾄﾞ-5
サ,ｻﾝｹｲ石灰硫黄合剤,142,,殺菌剤,石灰硫黄合剤,UN,,,,,,,,
漢字,海野石灰硫黄合剤,313,,殺菌剤,石灰硫黄合剤,UN,,,,,,,,
ア,ｱｸﾞﾘﾏｲｼﾝ-100,3316,,殺菌剤,ｵｷｼﾃﾄﾗｻｲｸﾘﾝ,41,ｽﾄﾚﾌﾟﾄﾏｲｼﾝ硫酸塩,25,,,,,,
マ,ﾏﾙｱ硫酸銅(粉),3546,,殺菌剤,硫酸銅五水塩,M1,,,,,,,,
漢字,細井硫黄粉剤50,3725,,殺菌剤,硫黄,"UN(I*), M2(F*)",,,,,,,,
漢字,蛇の目印粉状丹礬,3848,,殺菌剤,硫酸銅五水塩,M1,,,,,,,,
漢字,三井硫酸銅(粉状),3883,,殺菌剤,硫酸銅五水塩,M1,,,,,,,,
漢字,宮内石灰硫黄合剤,4140,,殺菌剤,石灰硫黄合剤,UN,,,,,,,,
漢字,余市組合石灰硫黄合剤,4358,,殺菌剤,石灰硫黄合剤,UN,,,,,,,,
サ,ｻﾝｹｲ硫黄粉剤50,4406,,殺菌剤,硫黄,"UN(I*), M2(F*)",,,,,,,,
サ,ｻﾝｹｲ園芸ﾎﾞﾙﾄﾞｰ,4407,,殺菌剤,硫黄,"UN(I*), M2(F*)",塩基性塩化銅,M1,,,,,,
ア,ｱｸﾞﾚﾌﾟﾄ水和剤,5655,,殺菌剤,ｽﾄﾚﾌﾟﾄﾏｲｼﾝ硫酸塩,25,,,,,,,,
漢字,細井硫黄粉剤80,6578,,殺菌剤,硫黄,"UN(I*), M2(F*)",,,,,,,,
漢字,小名浜硫酸銅,7251,,殺菌剤,硫酸銅五水塩,M1,,,,,,,,
ホ,ﾎｸｺｰｶｽﾐﾝ液剤,7290,,殺菌剤,ｶｽｶﾞﾏｲｼﾝ,24,,,,,,,,
ト,ﾄﾞｲﾂﾎﾞﾙﾄﾞｰA,7381,,殺菌剤,塩基性塩化銅,M1,,,,,,,,
カ,ｶﾈﾅｶ印石灰硫黄合剤,7696,,殺菌剤,石灰硫黄合剤,UN,,,,,,,,
キ,ｷﾉﾝﾄﾞｰ水和剤40,8086,,殺菌剤,有機銅,M1,,,,,,,,
サ,ｻﾝｹｲﾏｲｼﾝ20水和剤,8088,,殺菌剤,ｽﾄﾚﾌﾟﾄﾏｲｼﾝ硫酸塩,25,,,,,,,,
カ,ｶｽﾐﾝ粉剤30,8320,,殺菌剤,ｶｽｶﾞﾏｲｼﾝ,24,,,,,,,,
