頭文字,製品名,登録番号,列1,用途,有効成分-1,RACｺｰﾄﾞ-1,有効成分-2,RACｺｰﾄﾞ-2,有効成分-3,RACｺｰﾄﾞ-3,有効成分-4,RACｺｰﾄﾞ-4,有効成分-5,RACｺｰﾄﾞ-5
タ,ﾀﾈｻﾝGT,14026,,殺虫殺菌剤,ﾀﾞｲｱｼﾞﾉﾝ,1B,ﾁｳﾗﾑ,M3,,,,,,
漢字,日曹ｽﾐﾄｯﾌﾟM粉剤,14610,,殺虫殺菌剤,MEP,1B,ﾁｵﾌｧﾈｰﾄﾒﾁﾙ,1,,,,,,
ハ,ﾊﾟﾀﾞﾝﾋﾞｰﾑ粒剤,14823,,殺虫殺菌剤,ｶﾙﾀｯﾌﾟ,14,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,,,,,,
カ,ｶﾀﾞﾝD,15115,,殺虫殺菌剤,ｱﾚｽﾘﾝ,3A,TPN,M5,,,,,,
漢字,園芸用ｷﾝﾁｮｰﾙS,15976,,殺虫殺菌剤,ﾍﾟﾙﾒﾄﾘﾝ,3A,ﾄﾘﾎﾘﾝ,3,,,,,,
カ,ｶﾀﾞﾝP,16431,,殺虫殺菌剤,ﾍﾟﾙﾒﾄﾘﾝ,3A,TPN,M5,,,,,,
ハ,ﾊﾟﾀﾞﾝﾄﾚﾊﾞﾘﾀﾞ粉剤DL,16934,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ｶﾙﾀｯﾌﾟ,14,ﾊﾞﾘﾀﾞﾏｲｼﾝ,U18,,,,
ヒ,ﾋﾞｰﾑﾊﾞｼﾎﾞﾝ粉剤DL,16965,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,ﾒﾌﾟﾛﾆﾙ,7,,,,
ハ,ﾊﾟﾀﾞﾝﾄﾚﾊﾞﾘﾀﾞﾋﾞｰﾑ粉剤DL,17304,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ｶﾙﾀｯﾌﾟ,14,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,ﾊﾞﾘﾀﾞﾏｲｼﾝ,U18,,
ト,ﾄﾚﾊﾞﾘﾀﾞﾋﾞｰﾑ粉剤DL,17305,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,ﾊﾞﾘﾀﾞﾏｲｼﾝ,U18,,,,
ア,ｱﾙﾀﾍﾞｰﾙﾌﾛｱﾌﾞﾙ,17535,,殺虫殺菌剤,ﾏｼﾝ油,"UNM(I*),NC(F*)",有機銅,M1,,,,,,
ヒ,ﾋﾞｰﾑﾄﾚﾎﾞﾝ粉剤5DL,17657,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,,,,,,
コ,ｺﾗﾄｯﾌﾟﾄﾚﾎﾞﾝ粒剤,17764,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾋﾟﾛｷﾛﾝ,16.1,,,,,,
ヒ,ﾋﾞｰﾑﾊﾞｼﾎﾞﾝ粉剤5DL,18105,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,ﾒﾌﾟﾛﾆﾙ,7,,,,
フ,ﾌﾞﾗｼﾝﾄﾚﾎﾞﾝ粉剤DL,18170,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾌｪﾘﾑｿﾞﾝ,U14,ﾌｻﾗｲﾄﾞ,16.1,,,,
ホ,ﾎｸｺｰﾌﾞﾗｼﾝﾄﾚﾎﾞﾝ粉剤DL,18171,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾌｪﾘﾑｿﾞﾝ,U14,ﾌｻﾗｲﾄﾞ,16.1,,,,
ノ,ﾉﾝﾌﾞﾗｽﾄﾚﾎﾞﾝ粉剤DL,18173,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,ﾌｪﾘﾑｿﾞﾝ,U14,,,,
フ,ﾌﾞﾗｼﾝﾄﾚﾊﾞﾘﾀﾞ粉剤DL,18174,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾊﾞﾘﾀﾞﾏｲｼﾝ,U18,ﾌｪﾘﾑｿﾞﾝ,U14,ﾌｻﾗｲﾄﾞ,16.1,,
ホ,ﾎｸｺｰﾌﾞﾗｼﾝﾄﾚﾊﾞﾘﾀﾞ粉剤DL,18175,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾊﾞﾘﾀﾞﾏｲｼﾝ,U18,ﾌｪﾘﾑｿﾞﾝ,U14,ﾌｻﾗｲﾄﾞ,16.1,,
ノ,ﾉﾝﾌﾞﾗｽﾄﾚﾊﾞﾘﾀﾞ粉剤DL,18177,,殺虫殺菌剤,ｴﾄﾌｪﾝﾌﾟﾛｯｸｽ,3A,ﾄﾘｼｸﾗｿﾞｰﾙ,16.1,ﾊﾞﾘﾀﾞﾏｲｼﾝ,U18,ﾌｪﾘﾑｿﾞﾝ,U14,,
